sensor_id,sensor_type,location_lat,location_lng,region,zone,installation_date,last_maintenance,calibration_data,metadata,active,created_at,updated_at
munbon-m2m-00001,moisture,13.7563,100.5018,Munbon,Zone 1,2025-06-03 13:16:44.904281+00,,{},"{""model"": ""Soil Moisture Sensor"", ""gateway_id"": ""00001"", ""manufacturer"": ""M2M""}",t,2025-06-03 13:16:44.904281+00,2025-06-03 13:16:44.904281+00
test-001,moisture,13.7563,100.5018,,,2025-06-03 13:48:41.769947+00,,{},{},t,2025-06-03 13:48:41.769947+00,2025-06-03 13:48:41.769947+00
00001-00001,moisture,13.94619,100.73613,,,2025-06-03 13:44:03.416487+00,,{},"{""test"": true, ""msgType"": ""interval"", ""gatewayId"": ""00001"", ""manufacturer"": ""M2M"", ""sensorBattery"": 3.95, ""gatewayBattery"": 4.1}",t,2025-06-03 13:44:03.416487+00,2025-06-03 14:07:39.992822+00
00001-00002,moisture,13.94618,100.73615,,,2025-06-03 14:08:36.662075+00,,{},"{""msgType"": ""interval"", ""gatewayId"": ""00001"", ""manufacturer"": ""M2M"", ""sensorBattery"": 3.95, ""gatewayBattery"": 4.1}",t,2025-06-03 14:08:36.662075+00,2025-06-03 14:09:36.668109+00
00002-00003,moisture,13.94619,100.73617,,,2025-06-03 14:11:03.586451+00,,{},"{""msgType"": ""interval"", ""gatewayId"": ""00002"", ""manufacturer"": ""M2M"", ""sensorBattery"": 3.85, ""gatewayBattery"": 4.98}",t,2025-06-03 14:11:03.586451+00,2025-06-03 14:12:47.515003+00
00002-00004,moisture,13.94619,100.73617,,,2025-06-03 14:11:03.598728+00,,{},"{""msgType"": ""interval"", ""gatewayId"": ""00002"", ""manufacturer"": ""M2M"", ""sensorBattery"": 4, ""gatewayBattery"": 4.98}",t,2025-06-03 14:11:03.598728+00,2025-06-03 14:12:47.536278+00
