Unnamed: 0,คลอง,กม.,Unnamed: 3,ระยะ,Qr,Qmax (จากแผนรอบเวรส่งน้ำ),Qd,A,V,Experiment,R,n,s,B,D,t,HC,HL,HR,Bm,TL,TR,RL,RR,หมายเหตุ,Unnamed: 26,คลอง.1,กม..1,Unnamed: 29,ระยะ.1,พื้นที่,ปริมาตรน้ำ,ปริมาตรน้ำสะสม,พื้นที่กันเขต
,,เริ่ม,สิ้นสุด,ม.,ม.3/วินาที,ม.3/วินาที,ม.3/วินาที,ม.2,ม./วินาที,ม./วินาที,ม.,,,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,,,,เริ่ม,สิ้นสุด,(ม.),(ตร.ม.),(ลบ.ม.),(ลบ.ม.),(ตร.ม.)
,,36+190,38+100,1910,3.899,4.179,4.178,6.02,0.694,0.59,0.831,0.018,0.0002,2.2,1.4,0.06,1.65,2.1,2.1,2,2,6,15,20,คลองดาดคอนกรีต,,,36+190,38+100,1910,6.02,11498.199999999999,302681.7055,66850
,,38+100,38+340,240,0.199,,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,-,2,5,15,20,คลองดาดคอนกรีต,,,38+100,38+340,240,0.625,150,302831.7055,8400
,,38+340,38+500,160,0.11,,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,-,2,5,15,20,คลองดาดคอนกรีต,,,38+340,38+500,160,0.625,100,302931.7055,5600
,,38+500,38+700,200,0.11,0.205,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,-,2,5,15,20,คลองดาดคอนกรีต,,,38+500,38+700,200,0.625,125,303056.7055,7000
,,38+700,39+050,350,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,-,-,-,-,-,-,-,15,15,คลองดิน,,,38+700,39+050,350,0.625,218.75,303275.4555,10500
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,39050,,303275.4555,,2006300
,9R-LMC,0+000,2+850,2850,2.408,2.408,2.408,3.96,0.608,,0.68,0.018,0.0002,1.5,1.2,0.06,1.4,1.8,1.8,1,5,2,25,25,คลองดาดคอนกรีต,,9R-LMC,0+000,2+850,2850,3.9599999999999995,11285.999999999998,11285.999999999998,142500
,,2+850,3+500,650,2.156,,2.203,3.709,0.594,,0.657,0.018,0.0002,1.5,1.15,0.06,1.35,1.75,1.75,1,5,2,25,20,คลองดาดคอนกรีต,,,2+850,3+500,650,3.7087499999999993,2410.6874999999995,13696.687499999998,29250
,,3+500,4+465,965,2.156,2.201,2.203,3.709,0.594,,0.657,0.018,0.0002,1.5,1.15,0.06,1.35,1.75,1.75,1,5,2,25,20,คลองดาดคอนกรีต,,,3+500,4+465,965,3.7087499999999993,3578.9437499999995,17275.63125,43425
,,4+465,5+750,1285,2.044,2.201,2.203,3.709,0.594,,0.657,0.018,0.0002,1.5,1.15,0.06,1.35,1.75,1.75,1,5,5,20,20,คลองดาดคอนกรีต,,,4+465,5+750,1285,3.7087499999999993,4765.743749999999,22041.374999999996,51400
,,5+750,7+000,1250,1.789,,1.926,3.355,0.574,,0.625,0.018,0.0002,1.4,1.1,0.06,1.3,1.65,1.65,1,5,5,20,20,คลองดาดคอนกรีต,,,5+750,7+000,1250,3.355,4193.75,26235.124999999996,50000
,,7+000,7+900,900,1.789,1.927,1.926,3.355,0.574,,0.625,0.018,0.0002,1.4,1.1,0.06,1.3,1.65,1.65,1,5,5,20,20,คลองดาดคอนกรีต,,,7+000,7+900,900,3.355,3019.5,29254.624999999996,36000
,,7+900,10+050,2150,0.954,1.044,1.045,2.115,0.494,,0.498,0.018,0.0002,1,0.9,0.06,1.1,1.4,1.4,1,5,5,20,20,คลองดาดคอนกรีต,,,7+900,10+050,2150,2.115,4547.250000000001,33801.875,86000
,,10+050,10+500,450,0.501,,0.543,1.295,0.419,,0.39,0.018,0.0002,0.8,0.7,0.06,0.85,1.15,1.15,1,5,2,15,15,คลองดาดคอนกรีต,,,10+050,10+500,450,1.295,582.75,34384.625,13500
,,10+500,12+100,1600,0.501,0.542,0.543,1.295,0.419,,0.39,0.018,0.0002,0.8,0.7,0.06,0.85,1.15,1.15,1,5,2,15,15,คลองดาดคอนกรีต,,,10+500,12+100,1600,1.295,2072,36456.625,48000
