Unnamed: 0,คลอง,กม.,Unnamed: 3,ระยะ,Qr,Qmax (จากแผนรอบเวรส่งน้ำ),Qd,A,V,Experiment,R,n,s,B,D,t,HC,HL,HR,Bm,TL,TR,RL,RR,หมายเหตุ,Unnamed: 26,คลอง.1,กม..1,Unnamed: 29,ระยะ.1,พื้นที่,ปริมาตรน้ำ,ปริมาตรน้ำสะสม,พื้นที่กันเขต
,,เริ่ม,สิ้นสุด,ม.,ม.3/วินาที,ม.3/วินาที,ม.3/วินาที,ม.2,ม./วินาที,ม./วินาที,ม.,,,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,,,,เริ่ม,สิ้นสุด,(ม.),(ตร.ม.),(ลบ.ม.),(ลบ.ม.),(ตร.ม.)
,,3+500,4+520,1020,1.201,,1.235,2.399,0.515,0.52,0.53,0.018,0.0002,1.1,0.95,0.06,1.15,1.45,1.45,1,5,5,20,15,คลองดาดคอนกรีต,,,3+500,4+520,1020,2.3987499999999997,2446.725,11329.375,35700
,,4+520,5+500,980,0.237,,0.253,0.729,0.347,0.44,0.294,0.018,0.0002,0.5,0.55,0.06,0.7,0.95,0.95,0,5,5,15,15,คลองดาดคอนกรีต,,,4+520,5+500,980,0.7287500000000001,714.1750000000001,12043.55,29400
,,5+500,6+600,1100,0.207,,0.253,0.729,0.347,,0.294,0.018,0.0002,0.5,0.55,0.06,0.7,0.95,0.95,0,5,5,15,15,คลองดาดคอนกรีต,,,5+500,6+600,1100,0.7287500000000001,801.6250000000001,12845.175,33000
,,6+600,6+700,100,-,,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,6+600,6+700,100,0.625,62.5,12907.675,3000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,6700,,12907.675,,223600
,4L-RMC,0+000,0+750,750,0.794,,0.815,1.76,0.463,,0.453,0.018,0.0002,1,0.8,0.06,0.95,1.25,1.25,1,5,5,15,15,คลองดาดคอนกรีต,,4L-RMC,0+000,0+750,750,1.7600000000000002,1320.0000000000002,1320.0000000000002,22500
,,0+750,1+390,640,0.643,,0.67,1.519,0.441,,0.421,0.018,0.0002,0.9,0.75,0.06,0.9,1.2,1.2,1,5,5,15,15,คลองดาดคอนกรีต,,,0+750,1+390,640,1.5187499999999998,971.9999999999999,2292,19200
,,1+390,1+850,460,0.589,,0.628,1.444,0.435,,0.412,0.018,0.0002,0.8,0.75,0.06,0.9,1.2,1.2,1,5,5,15,15,คลองดาดคอนกรีต,,,1+390,1+850,460,1.44375,664.125,2956.125,13800
,,1+850,2+600,750,0.339,,0.398,1.024,0.389,,0.348,0.018,0.0002,0.6,0.65,0.06,0.8,1.05,1.05,0,5,5,15,15,คลองดาดคอนกรีต,,,1+850,2+600,750,1.0237500000000002,767.8125000000001,3723.9375,22500
,,2+600,3+000,400,0.154,,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,5,5,15,15,คลองดาดคอนกรีต,,,2+600,3+000,400,0.625,250,3973.9375,12000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,3000,,3973.9375,,90000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวมทั้งหมด,,,106420,,422066.4971999999,,4239575
